scaffold,position,start,end,midpoint,sites,sitesOverMinExD,ABBA,BABA,D,fG,fhom,fd
HE669481,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669479,2500,1,5001,2671,2771,2159,NA,NA,NA,NA,NA,NA
HE669479,7500,5001,10001,7497,3768,2886,NA,NA,NA,NA,NA,NA
HE669479,12500,10001,15001,12406,4061,3130,NA,NA,NA,NA,NA,NA
HE669479,17500,15001,20001,15228,140,NA,NA,NA,NA,NA,NA,NA
HE669477,2500,1,5001,703,1101,983,NA,NA,NA,NA,NA,NA
HE669477,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669475,2500,1,5001,2516,4897,4461,NA,NA,NA,NA,NA,NA
HE669475,7500,5001,10001,7501,4678,4193,NA,NA,NA,NA,NA,NA
HE669475,12500,10001,15001,12501,3977,3081,NA,NA,NA,NA,NA,NA
HE669475,17500,15001,20001,17501,4061,2755,NA,NA,NA,NA,NA,NA
HE669475,22500,20001,25001,22501,4297,3959,NA,NA,NA,NA,NA,NA
HE669475,27500,25001,30001,27501,4851,4635,NA,NA,NA,NA,NA,NA
HE669475,32500,30001,35001,32375,4701,4393,NA,NA,NA,NA,NA,NA
HE669475,37500,35001,40001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669473,2500,1,5001,617,1085,672,NA,NA,NA,NA,NA,NA
HE669473,7500,5001,10001,8188,3415,2134,NA,NA,NA,NA,NA,NA
HE669473,12500,10001,15001,10409,802,NA,NA,NA,NA,NA,NA,NA
HE669471,2500,1,5001,2791,3356,2172,NA,NA,NA,NA,NA,NA
HE669471,7500,5001,10001,7501,4501,2924,NA,NA,NA,NA,NA,NA
HE669471,12500,10001,15001,12241,4200,2988,NA,NA,NA,NA,NA,NA
HE669471,17500,15001,20001,16649,10,NA,NA,NA,NA,NA,NA,NA
HE669469,2500,1,5001,1615,2820,2716,NA,NA,NA,NA,NA,NA
HE669469,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669467,2500,1,5001,1528,2030,1601,NA,NA,NA,NA,NA,NA
HE669467,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669465,2500,1,5001,2496,4860,4620,NA,NA,NA,NA,NA,NA
HE669465,7500,5001,10001,7501,4957,4826,NA,NA,NA,NA,NA,NA
HE669465,12500,10001,15001,12501,3900,3826,NA,NA,NA,NA,NA,NA
HE669465,17500,15001,20001,17192,4056,3865,NA,NA,NA,NA,NA,NA
HE669465,22500,20001,25001,22617,4683,4558,NA,NA,NA,NA,NA,NA
HE669465,27500,25001,30001,27226,4136,3696,NA,NA,NA,NA,NA,NA
HE669465,32500,30001,35001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669463,2500,1,5001,3253,3314,3196,NA,NA,NA,NA,NA,NA
HE669463,7500,5001,10001,7501,4918,4474,NA,NA,NA,NA,NA,NA
HE669463,12500,10001,15001,12501,4961,4830,NA,NA,NA,NA,NA,NA
HE669463,17500,15001,20001,17501,4933,4728,NA,NA,NA,NA,NA,NA
HE669463,22500,20001,25001,22501,4596,4219,NA,NA,NA,NA,NA,NA
HE669463,27500,25001,30001,27501,3895,3499,NA,NA,NA,NA,NA,NA
HE669463,32500,30001,35001,32501,4635,4024,NA,NA,NA,NA,NA,NA
HE669463,37500,35001,40001,37501,4955,4774,NA,NA,NA,NA,NA,NA
HE669463,42500,40001,45001,42501,4939,4629,NA,NA,NA,NA,NA,NA
HE669463,47500,45001,50001,47501,4939,4735,NA,NA,NA,NA,NA,NA
HE669463,52500,50001,55001,52501,4905,4756,NA,NA,NA,NA,NA,NA
HE669463,57500,55001,60001,57501,4931,4759,NA,NA,NA,NA,NA,NA
HE669463,62500,60001,65001,62501,4960,4813,NA,NA,NA,NA,NA,NA
HE669463,67500,65001,70001,67501,4828,4636,NA,NA,NA,NA,NA,NA
HE669463,72500,70001,75001,72501,4980,4880,NA,NA,NA,NA,NA,NA
HE669463,77500,75001,80001,77501,4834,4594,NA,NA,NA,NA,NA,NA
HE669463,82500,80001,85001,82501,4595,3404,NA,NA,NA,NA,NA,NA
HE669463,87500,85001,90001,87501,5000,4931,NA,NA,NA,NA,NA,NA
HE669463,92500,90001,95001,92048,4036,3993,NA,NA,NA,NA,NA,NA
HE669463,97500,95001,100001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669461,2500,1,5001,2502,4896,4736,NA,NA,NA,NA,NA,NA
HE669461,7500,5001,10001,7501,4881,4447,NA,NA,NA,NA,NA,NA
HE669461,12500,10001,15001,12462,4743,4028,NA,NA,NA,NA,NA,NA
HE669461,17500,15001,20001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669459,2500,1,5001,2567,3835,3245,NA,NA,NA,NA,NA,NA
HE669459,7500,5001,10001,7501,4985,4608,NA,NA,NA,NA,NA,NA
HE669459,12500,10001,15001,12501,4596,3755,NA,NA,NA,NA,NA,NA
HE669459,17500,15001,20001,17501,4957,4878,NA,NA,NA,NA,NA,NA
HE669459,22500,20001,25001,22501,4968,4887,NA,NA,NA,NA,NA,NA
HE669459,27500,25001,30001,27501,4911,4704,NA,NA,NA,NA,NA,NA
HE669459,32500,30001,35001,32501,4748,4391,NA,NA,NA,NA,NA,NA
HE669459,37500,35001,40001,37501,4935,4736,NA,NA,NA,NA,NA,NA
HE669459,42500,40001,45001,42501,4915,4686,NA,NA,NA,NA,NA,NA
HE669459,47500,45001,50001,47501,4929,4840,NA,NA,NA,NA,NA,NA
HE669459,52500,50001,55001,52501,4948,4826,NA,NA,NA,NA,NA,NA
HE669459,57500,55001,60001,57501,4368,3887,NA,NA,NA,NA,NA,NA
HE669459,62500,60001,65001,62501,4959,4800,NA,NA,NA,NA,NA,NA
HE669459,67500,65001,70001,67501,4963,4888,NA,NA,NA,NA,NA,NA
HE669459,72500,70001,75001,72501,4984,4875,NA,NA,NA,NA,NA,NA
HE669459,77500,75001,80001,77501,4951,4742,NA,NA,NA,NA,NA,NA
HE669459,82500,80001,85001,82501,4794,4335,NA,NA,NA,NA,NA,NA
HE669459,87500,85001,90001,87501,4636,4026,NA,NA,NA,NA,NA,NA
HE669459,92500,90001,95001,92501,4864,4516,NA,NA,NA,NA,NA,NA
HE669459,97500,95001,100001,97501,4700,3680,NA,NA,NA,NA,NA,NA
HE669459,102500,100001,105001,102501,4915,4666,NA,NA,NA,NA,NA,NA
HE669459,107500,105001,110001,107501,4894,4169,NA,NA,NA,NA,NA,NA
HE669459,112500,110001,115001,112501,4927,4541,NA,NA,NA,NA,NA,NA
HE669459,117500,115001,120001,117310,3590,3249,NA,NA,NA,NA,NA,NA
HE669459,122500,120001,125001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669457,2500,1,5001,901,1748,1326,NA,NA,NA,NA,NA,NA
HE669457,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669455,12500,10001,15001,12501,4735,3070,NA,NA,NA,NA,NA,NA
HE669455,17500,15001,20001,17501,4737,3889,NA,NA,NA,NA,NA,NA
HE669455,22500,20001,25001,22501,4996,4731,NA,NA,NA,NA,NA,NA
HE669455,27500,25001,30001,25748,1227,910,NA,NA,NA,NA,NA,NA
HE669455,32500,30001,35001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669453,2500,1,5001,2501,4795,4132,NA,NA,NA,NA,NA,NA
HE669453,7500,5001,10001,7500,4941,4588,NA,NA,NA,NA,NA,NA
HE669453,12500,10001,15001,12505,4921,4812,NA,NA,NA,NA,NA,NA
HE669453,17500,15001,20001,17501,4785,4415,NA,NA,NA,NA,NA,NA
HE669453,22500,20001,25001,22452,4013,3393,NA,NA,NA,NA,NA,NA
HE669453,27500,25001,30001,27987,3812,3415,NA,NA,NA,NA,NA,NA
HE669453,32500,30001,35001,32501,861,NA,NA,NA,NA,NA,NA,NA
HE669453,37500,35001,40001,37501,4740,4195,NA,NA,NA,NA,NA,NA
HE669453,42500,40001,45001,42500,4977,4893,NA,NA,NA,NA,NA,NA
HE669453,47500,45001,50001,47501,4893,4702,NA,NA,NA,NA,NA,NA
HE669453,52500,50001,55001,52501,4584,4345,NA,NA,NA,NA,NA,NA
HE669453,57500,55001,60001,57501,4770,4401,NA,NA,NA,NA,NA,NA
HE669453,62500,60001,65001,62501,4603,3562,NA,NA,NA,NA,NA,NA
HE669453,67500,65001,70001,66324,2627,2584,NA,NA,NA,NA,NA,NA
HE669453,72500,70001,75001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669451,2500,1,5001,910,1194,997,NA,NA,NA,NA,NA,NA
HE669451,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669449,2500,1,5001,2501,4973,4839,NA,NA,NA,NA,NA,NA
HE669449,7500,5001,10001,7501,4959,4616,NA,NA,NA,NA,NA,NA
HE669449,12500,10001,15001,12501,4805,4373,NA,NA,NA,NA,NA,NA
HE669449,17500,15001,20001,17501,4993,4876,NA,NA,NA,NA,NA,NA
HE669449,22500,20001,25001,22501,4717,4568,NA,NA,NA,NA,NA,NA
HE669449,27500,25001,30001,27501,4930,4509,NA,NA,NA,NA,NA,NA
HE669449,32500,30001,35001,32501,4970,4880,NA,NA,NA,NA,NA,NA
HE669449,37500,35001,40001,37499,4229,3782,NA,NA,NA,NA,NA,NA
HE669449,42500,40001,45001,42503,3424,2947,NA,NA,NA,NA,NA,NA
HE669449,47500,45001,50001,47501,4888,4548,NA,NA,NA,NA,NA,NA
HE669449,52500,50001,55001,52501,1424,1171,NA,NA,NA,NA,NA,NA
HE669449,57500,55001,60001,57501,4948,4812,NA,NA,NA,NA,NA,NA
HE669449,62500,60001,65001,62501,3956,3740,NA,NA,NA,NA,NA,NA
HE669449,67500,65001,70001,67500,4942,4720,NA,NA,NA,NA,NA,NA
HE669449,72500,70001,75001,72503,4799,4469,NA,NA,NA,NA,NA,NA
HE669449,77500,75001,80001,75461,885,NA,NA,NA,NA,NA,NA,NA
HE669449,82500,80001,85001,82899,4093,4007,NA,NA,NA,NA,NA,NA
HE669449,87500,85001,90001,87501,4103,3877,NA,NA,NA,NA,NA,NA
HE669449,92500,90001,95001,92501,4903,4815,NA,NA,NA,NA,NA,NA
HE669449,97500,95001,100001,97473,4691,4395,NA,NA,NA,NA,NA,NA
HE669449,102500,100001,105001,102528,2927,2419,NA,NA,NA,NA,NA,NA
HE669449,107500,105001,110001,107501,4912,4836,NA,NA,NA,NA,NA,NA
HE669449,112500,110001,115001,112501,4892,4631,NA,NA,NA,NA,NA,NA
HE669449,117500,115001,120001,117021,4028,3821,NA,NA,NA,NA,NA,NA
HE669449,122500,120001,125001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669447,2500,1,5001,2501,4962,4738,NA,NA,NA,NA,NA,NA
HE669447,7500,5001,10001,5103,110,NA,NA,NA,NA,NA,NA,NA
HE669445,2500,1,5001,947,1842,1442,NA,NA,NA,NA,NA,NA
HE669445,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669443,2500,1,5001,2926,3586,3205,NA,NA,NA,NA,NA,NA
HE669443,7500,5001,10001,5940,1827,1354,NA,NA,NA,NA,NA,NA
HE669443,12500,10001,15001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669441,2500,1,5001,2501,4419,4114,NA,NA,NA,NA,NA,NA
HE669441,7500,5001,10001,7501,4489,4254,NA,NA,NA,NA,NA,NA
HE669441,12500,10001,15001,12501,4894,4692,NA,NA,NA,NA,NA,NA
HE669441,17500,15001,20001,17501,4193,3242,NA,NA,NA,NA,NA,NA
HE669441,22500,20001,25001,22501,4327,4026,NA,NA,NA,NA,NA,NA
HE669441,27500,25001,30001,26022,1771,1615,NA,NA,NA,NA,NA,NA
HE669441,32500,30001,35001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669439,2500,1,5001,2609,4432,4248,NA,NA,NA,NA,NA,NA
HE669439,7500,5001,10001,7501,4956,4809,NA,NA,NA,NA,NA,NA
HE669439,12500,10001,15001,11170,2234,2042,NA,NA,NA,NA,NA,NA
HE669439,17500,15001,20001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669437,2500,1,5001,2537,3364,3208,NA,NA,NA,NA,NA,NA
HE669437,7500,5001,10001,7501,4980,4950,NA,NA,NA,NA,NA,NA
HE669437,12500,10001,15001,10639,1270,1229,NA,NA,NA,NA,NA,NA
HE669437,17500,15001,20001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669435,2500,1,5001,2510,2469,2307,NA,NA,NA,NA,NA,NA
HE669435,7500,5001,10001,5666,1103,726,NA,NA,NA,NA,NA,NA
HE669435,12500,10001,15001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669433,27500,25001,30001,27673,4345,3999,NA,NA,NA,NA,NA,NA
HE669433,32500,30001,35001,32501,4950,4890,NA,NA,NA,NA,NA,NA
HE669433,37500,35001,40001,37501,4976,4955,NA,NA,NA,NA,NA,NA
HE669433,42500,40001,45001,42501,5000,4999,NA,NA,NA,NA,NA,NA
HE669433,47500,45001,50001,47501,4983,4976,NA,NA,NA,NA,NA,NA
HE669433,52500,50001,55001,52501,4991,4932,NA,NA,NA,NA,NA,NA
HE669433,57500,55001,60001,57501,4989,4900,NA,NA,NA,NA,NA,NA
HE669433,62500,60001,65001,62501,4968,4734,NA,NA,NA,NA,NA,NA
HE669433,67500,65001,70001,67501,4643,4334,NA,NA,NA,NA,NA,NA
HE669433,72500,70001,75001,72501,4954,4892,NA,NA,NA,NA,NA,NA
HE669433,77500,75001,80001,77483,3788,3622,NA,NA,NA,NA,NA,NA
HE669433,82500,80001,85001,82515,4903,4868,NA,NA,NA,NA,NA,NA
HE669433,87500,85001,90001,87501,4925,4848,NA,NA,NA,NA,NA,NA
HE669433,92500,90001,95001,92501,4795,3150,NA,NA,NA,NA,NA,NA
HE669433,97500,95001,100001,97501,4706,4011,NA,NA,NA,NA,NA,NA
HE669433,102500,100001,105001,102500,4324,2986,NA,NA,NA,NA,NA,NA
HE669433,107500,105001,110001,107502,4780,3432,NA,NA,NA,NA,NA,NA
HE669433,112500,110001,115001,112501,3885,3622,NA,NA,NA,NA,NA,NA
HE669433,117500,115001,120001,117501,4949,4446,NA,NA,NA,NA,NA,NA
HE669433,122500,120001,125001,122501,4991,4881,NA,NA,NA,NA,NA,NA
HE669433,127500,125001,130001,127501,4936,4733,NA,NA,NA,NA,NA,NA
HE669433,132500,130001,135001,132501,3416,2173,NA,NA,NA,NA,NA,NA
HE669433,137500,135001,140001,137501,4405,3913,NA,NA,NA,NA,NA,NA
HE669433,142500,140001,145001,142501,4964,4883,NA,NA,NA,NA,NA,NA
HE669433,147500,145001,150001,147501,4976,4772,NA,NA,NA,NA,NA,NA
HE669433,152500,150001,155001,152501,4948,4844,NA,NA,NA,NA,NA,NA
HE669433,157500,155001,160001,157501,4022,3219,NA,NA,NA,NA,NA,NA
HE669433,162500,160001,165001,162501,4889,4568,NA,NA,NA,NA,NA,NA
HE669433,167500,165001,170001,167501,4975,4909,NA,NA,NA,NA,NA,NA
HE669433,172500,170001,175001,172501,4978,4872,NA,NA,NA,NA,NA,NA
HE669433,177500,175001,180001,177501,4913,4792,NA,NA,NA,NA,NA,NA
HE669433,182500,180001,185001,182501,4906,4766,NA,NA,NA,NA,NA,NA
HE669433,187500,185001,190001,187501,4924,4734,NA,NA,NA,NA,NA,NA
HE669433,192500,190001,195001,192501,4812,4580,NA,NA,NA,NA,NA,NA
HE669433,197500,195001,200001,197501,4945,4872,NA,NA,NA,NA,NA,NA
HE669433,202500,200001,205001,202501,4935,4792,NA,NA,NA,NA,NA,NA
HE669433,207500,205001,210001,206503,2956,2826,NA,NA,NA,NA,NA,NA
HE669433,212500,210001,215001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669431,2500,1,5001,682,1014,724,NA,NA,NA,NA,NA,NA
HE669431,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669429,2500,1,5001,2578,4615,4503,NA,NA,NA,NA,NA,NA
HE669429,7500,5001,10001,7501,4937,4873,NA,NA,NA,NA,NA,NA
HE669429,12500,10001,15001,12501,4934,4895,NA,NA,NA,NA,NA,NA
HE669429,17500,15001,20001,17501,4982,4881,NA,NA,NA,NA,NA,NA
HE669429,22500,20001,25001,22501,4664,4343,NA,NA,NA,NA,NA,NA
HE669429,27500,25001,30001,27501,4998,4984,NA,NA,NA,NA,NA,NA
HE669429,32500,30001,35001,32226,4399,4300,NA,NA,NA,NA,NA,NA
HE669429,37500,35001,40001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669425,2500,1,5001,2713,4138,3014,NA,NA,NA,NA,NA,NA
HE669425,7500,5001,10001,7487,3928,3271,NA,NA,NA,NA,NA,NA
HE669425,12500,10001,15001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669423,2500,1,5001,714,1052,687,NA,NA,NA,NA,NA,NA
HE669423,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669421,2500,1,5001,933,1016,563,NA,NA,NA,NA,NA,NA
HE669421,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669417,2500,1,5001,2539,2937,967,NA,NA,NA,NA,NA,NA
HE669417,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669413,2500,1,5001,2526,4862,4697,NA,NA,NA,NA,NA,NA
HE669413,7500,5001,10001,6876,3722,3505,NA,NA,NA,NA,NA,NA
HE669413,12500,10001,15001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669411,2500,1,5001,867,1532,1053,NA,NA,NA,NA,NA,NA
HE669411,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669409,2500,1,5001,3047,1917,1287,NA,NA,NA,NA,NA,NA
HE669409,7500,5001,10001,NA,0,NA,NA,NA,NA,NA,NA,NA
HE669407,2500,1,5001,3618,2178,1615,NA,NA,NA,NA,NA,NA
HE669407,7500,5001,10001,7501,4964,4821,NA,NA,NA,NA,NA,NA
HE669407,12500,10001,15001,12501,4993,4948,NA,NA,NA,NA,NA,NA
HE669407,17500,15001,20001,17501,4972,4888,NA,NA,NA,NA,NA,NA
HE669407,22500,20001,25001,22501,4992,4893,NA,NA,NA,NA,NA,NA
HE669407,27500,25001,30001,27501,4826,4758,NA,NA,NA,NA,NA,NA
HE669407,32500,30001,35001,32501,4958,4389,NA,NA,NA,NA,NA,NA
