#chrom	blockRange	AAAA	AABA	ABAA	ABBA	BAAA	BABA	BBAA	BBBA
1	194	218	206	218	206	218	206	218	206
1	195	174	132	174	132	174	132	174	132
1	196	110	177	110	177	110	177	110	177
1	197	90	74	90	74	90	74	90	74
1	198	63	144	63	144	63	144	63	144
1	199	81	104	81	104	81	104	81	104
1	200	63	119	63	119	63	119	63	119
1	201	60	119	60	119	60	119	60	119
1	202	50	47	50	47	50	47	50	47
1	203	73	74	73	74	73	74	73	74
1	204	41	60	41	60	41	60	41	60
1	205	40	43	40	43	40	43	40	43
1	206	95	150	95	150	95	150	95	150
1	207	117	163	117	163	117	163	117	163
1	208	131	74	131	74	131	74	131	74
1	209	350	346	350	346	350	346	350	346
1	210	137	135	137	135	137	135	137	135
1	211	118	132	118	132	118	132	118	132
1	212	156	139	156	139	156	139	156	139
1	213	133	95	133	95	133	95	133	95
1	214	91	125	91	125	91	125	91	125
1	215	113	127	113	127	113	127	113	127
1	216	160	130	160	130	160	130	160	130
1	217	126	135	126	135	126	135	126	135
1	218	120	115	120	115	120	115	120	115
1	219	103	127	103	127	103	127	103	127
1	220	61	59	61	59	61	59	61	59
1	221	74	62	74	62	74	62	74	62
1	222	162	120	162	120	162	120	162	120
1	223	138	114	138	114	138	114	138	114
1	224	314	162	314	162	314	162	314	162
1	225	90	71	90	71	90	71	90	71
1	226	99	312	99	312	99	312	99	312
1	227	89	103	89	103	89	103	89	103
1	228	117	66	117	66	117	66	117	66
1	229	108	117	108	117	108	117	108	117
1	230	143	79	143	79	143	79	143	79
1	231	139	115	139	115	139	115	139	115
1	232	65	68	65	68	65	68	65	68
1	233	109	109	109	109	109	109	109	109
1	234	160	113	160	113	160	113	160	113
1	235	118	169	118	169	118	169	118	169
1	236	148	124	148	124	148	124	148	124
1	237	178	188	178	188	178	188	178	188
1	238	231	207	231	207	231	207	231	207
1	239	183	193	183	193	183	193	183	193
1	240	163	197	163	197	163	197	163	197
1	241	239	244	239	244	239	244	239	244
1	242	227	254	227	254	227	254	227	254
1	243	257	272	257	272	257	272	257	272
1	244	281	308	281	308	281	308	281	308
1	245	343	319	343	319	343	319	343	319
2	246	106	106	106	106	106	106	106	106
2	247	47	44	47	44	47	44	47	44
2	248	42	66	42	66	42	66	42	66
2	249	57	72	57	72	57	72	57	72
2	250	77	36	77	36	77	36	77	36
2	251	56	54	56	54	56	54	56	54
2	252	32	32	32	32	32	32	32	32
2	253	33	44	33	44	33	44	33	44
2	254	16	18	16	18	16	18	16	18
2	255	17	41	17	41	17	41	17	41
2	256	28	67	28	67	28	67	28	67
2	257	43	71	43	71	43	71	43	71
2	258	82	105	82	105	82	105	82	105
2	259	34	63	34	63	34	63	34	63
2	260	39	68	39	68	39	68	39	68
2	261	55	69	55	69	55	69	55	69
2	262	71	67	71	67	71	67	71	67
2	263	41	56	41	56	41	56	41	56
2	264	45	66	45	66	45	66	45	66
2	265	56	52	56	52	56	52	56	52
2	266	80	50	80	50	80	50	80	50
2	267	61	45	61	45	61	45	61	45
2	268	58	57	58	57	58	57	58	57
2	269	56	73	56	73	56	73	56	73
2	270	38	74	38	74	38	74	38	74
2	271	46	80	46	80	46	80	46	80
2	272	63	88	63	88	63	88	63	88
2	273	59	76	59	76	59	76	59	76
2	274	70	86	70	86	70	86	70	86
2	275	50	107	50	107	50	107	50	107
2	276	59	40	59	40	59	40	59	40
2	277	86	40	86	40	86	40	86	40
2	278	59	43	59	43	59	43	59	43
2	279	62	60	62	60	62	60	62	60
2	280	59	46	59	46	59	46	59	46
2	281	74	49	74	49	74	49	74	49
2	282	45	80	45	80	45	80	45	80
2	283	39	67	39	67	39	67	39	67
2	284	69	61	69	61	69	61	69	61
2	285	43	40	43	40	43	40	43	40
2	286	54	57	54	57	54	57	54	57
2	287	50	52	50	52	50	52	50	52
2	288	61	64	61	64	61	64	61	64
2	289	57	84	57	84	57	84	57	84
2	290	66	54	66	54	66	54	66	54
2	291	69	66	69	66	69	66	69	66
2	292	59	92	59	92	59	92	59	92
2	293	65	103	65	103	65	103	65	103
2	294	60	71	60	71	60	71	60	71
2	295	57	90	57	90	57	90	57	90
2	296	81	71	81	71	81	71	81	71
2	297	52	98	52	98	52	98	52	98
2	298	66	73	66	73	66	73	66	73
2	299	54	76	54	76	54	76	54	76
2	300	47	66	47	66	47	66	47	66
2	301	73	46	73	46	73	46	73	46
2	302	53	61	53	61	53	61	53	61
2	303	52	51	52	51	52	51	52	51
2	304	42	64	42	64	42	64	42	64
2	305	50	59	50	59	50	59	50	59
2	306	77	81	77	81	77	81	77	81
2	307	62	80	62	80	62	80	62	80
2	308	51	71	51	71	51	71	51	71
2	309	88	74	88	74	88	74	88	74
2	310	79	99	79	99	79	99	79	99
2	311	72	59	72	59	72	59	72	59
2	312	63	56	63	56	63	56	63	56
2	313	74	103	74	103	74	103	74	103
2	314	60	69	60	69	60	69	60	69
2	315	83	92	83	92	83	92	83	92
2	316	52	55	52	55	52	55	52	55
2	317	49	56	49	56	49	56	49	56
2	318	47	65	47	65	47	65	47	65
2	319	49	64	49	64	49	64	49	64
2	320	63	67	63	67	63	67	63	67
2	321	39	39	39	39	39	39	39	39
2	322	53	60	53	60	53	60	53	60
2	323	41	57	41	57	41	57	41	57
2	324	81	65	81	65	81	65	81	65
2	325	67	55	67	55	67	55	67	55
2	326	63	62	63	62	63	62	63	62
2	327	93	52	93	52	93	52	93	52
2	328	52	68	52	68	52	68	52	68
2	329	92	70	92	70	92	70	92	70
2	330	66	66	66	66	66	66	66	66
2	331	80	73	80	73	80	73	80	73
2	332	64	56	64	56	64	56	64	56
2	333	52	28	52	28	52	28	52	28
2	334	90	69	90	69	90	69	90	69
2	335	71	93	71	93	71	93	71	93
2	336	47	43	47	43	47	43	47	43
2	337	52	55	52	55	52	55	52	55
2	338	70	46	70	46	70	46	70	46
2	339	36	27	36	27	36	27	36	27
2	340	55	35	55	35	55	35	55	35
2	341	68	62	68	62	68	62	68	62
2	342	84	57	84	57	84	57	84	57
2	343	59	80	59	80	59	80	59	80
2	344	112	74	112	74	112	74	112	74
2	345	53	48	53	48	53	48	53	48
2	346	73	76	73	76	73	76	73	76
2	347	39	56	39	56	39	56	39	56
2	348	51	56	51	56	51	56	51	56
2	349	85	87	85	87	85	87	85	87
2	350	67	65	67	65	67	65	67	65
2	351	65	31	65	31	65	31	65	31
2	352	51	38	51	38	51	38	51	38
2	353	56	38	56	38	56	38	56	38
2	354	90	78	90	78	90	78	90	78
2	355	70	107	70	107	70	107	70	107
2	356	90	75	90	75	90	75	90	75
2	357	88	83	88	83	88	83	88	83
2	358	85	114	85	114	85	114	85	114
2	359	101	94	101	94	101	94	101	94
2	360	134	131	134	131	134	131	134	131
2	361	58	133	58	133	58	133	58	133
2	362	76	75	76	75	76	75	76	75
2	363	91	84	91	84	91	84	91	84
2	364	48	78	48	78	48	78	48	78
2	365	50	56	50	56	50	56	50	56
2	366	29	43	29	43	29	43	29	43
2	367	59	60	59	60	59	60	59	60
2	368	54	60	54	60	54	60	54	60
2	369	71	73	71	73	71	73	71	73
2	370	48	30	48	30	48	30	48	30
2	371	64	41	64	41	64	41	64	41
2	372	54	74	54	74	54	74	54	74
2	373	54	61	54	61	54	61	54	61
2	374	95	54	95	54	95	54	95	54
2	375	53	65	53	65	53	65	53	65
2	376	88	67	88	67	88	67	88	67
2	377	62	50	62	50	62	50	62	50
2	378	55	50	55	50	55	50	55	50
2	379	51	59	51	59	51	59	51	59
2	380	33	47	33	47	33	47	33	47
2	381	58	63	58	63	58	63	58	63
2	382	53	40	53	40	53	40	53	40
2	383	67	121	67	121	67	121	67	121
2	384	54	51	54	51	54	51	54	51
2	385	94	93	94	93	94	93	94	93
2	386	86	100	86	100	86	100	86	100
2	387	95	104	95	104	95	104	95	104
2	388	49	55	49	55	49	55	49	55
2	389	63	93	63	93	63	93	63	93
2	390	117	102	117	102	117	102	117	102
2	391	61	85	61	85	61	85	61	85
2	392	71	50	71	50	71	50	71	50
2	393	64	100	64	100	64	100	64	100
2	394	74	87	74	87	74	87	74	87
2	395	68	89	68	89	68	89	68	89
2	396	56	79	56	79	56	79	56	79
2	397	60	89	60	89	60	89	60	89
2	398	68	79	68	79	68	79	68	79
2	399	65	67	65	67	65	67	65	67
2	400	67	80	67	80	67	80	67	80
2	401	56	71	56	71	56	71	56	71
2	402	63	89	63	89	63	89	63	89
2	403	88	89	88	89	88	89	88	89
2	404	62	107	62	107	62	107	62	107
2	405	125	192	125	192	125	192	125	192
2	406	103	140	103	140	103	140	103	140
2	407	142	161	142	161	142	161	142	161
2	408	71	111	71	111	71	111	71	111
2	409	79	111	79	111	79	111	79	111
2	410	107	138	107	138	107	138	107	138
2	411	112	128	112	128	112	128	112	128
2	412	87	131	87	131	87	131	87	131
2	413	109	116	109	116	109	116	109	116
2	414	86	108	86	108	86	108	86	108
2	415	130	170	130	170	130	170	130	170
3	416	112	141	112	141	112	141	112	141
3	417	13	33	13	33	13	33	13	33
3	418	37	55	37	55	37	55	37	55
3	419	22	46	22	46	22	46	22	46
3	420	40	63	40	63	40	63	40	63
3	421	35	64	35	64	35	64	35	64
3	422	44	78	44	78	44	78	44	78
3	423	75	71	75	71	75	71	75	71
3	424	81	73	81	73	81	73	81	73
3	425	46	49	46	49	46	49	46	49
3	426	57	54	57	54	57	54	57	54
3	427	64	65	64	65	64	65	64	65
3	428	99	46	99	46	99	46	99	46
3	429	79	53	79	53	79	53	79	53
3	430	69	68	69	68	69	68	69	68
3	431	35	45	35	45	35	45	35	45
3	432	46	53	46	53	46	53	46	53
3	433	38	59	38	59	38	59	38	59
3	434	89	76	89	76	89	76	89	76
3	435	77	69	77	69	77	69	77	69
3	436	74	82	74	82	74	82	74	82
3	437	106	70	106	70	106	70	106	70
3	438	66	70	66	70	66	70	66	70
3	439	60	72	60	72	60	72	60	72
3	440	44	67	44	67	44	67	44	67
3	441	63	49	63	49	63	49	63	49
3	442	59	62	59	62	59	62	59	62
3	443	53	52	53	52	53	52	53	52
3	444	40	74	40	74	40	74	40	74
3	445	58	55	58	55	58	55	58	55
3	446	61	46	61	46	61	46	61	46
3	447	87	53	87	53	87	53	87	53
3	448	51	71	51	71	51	71	51	71
3	449	45	52	45	52	45	52	45	52
3	450	59	44	59	44	59	44	59	44
3	451	51	53	51	53	51	53	51	53
3	452	66	41	66	41	66	41	66	41
3	453	42	34	42	34	42	34	42	34
3	454	49	40	49	40	49	40	49	40
3	455	45	44	45	44	45	44	45	44
3	456	48	52	48	52	48	52	48	52
3	457	49	35	49	35	49	35	49	35
3	458	93	65	93	65	93	65	93	65
3	459	53	38	53	38	53	38	53	38
3	460	89	77	89	77	89	77	89	77
3	461	114	85	114	85	114	85	114	85
3	462	61	57	61	57	61	57	61	57
3	463	61	73	61	73	61	73	61	73
3	464	68	35	68	35	68	35	68	35
3	465	65	51	65	51	65	51	65	51
3	466	31	56	31	56	31	56	31	56
3	467	43	71	43	71	43	71	43	71
3	468	79	113	79	113	79	113	79	113
3	469	77	115	77	115	77	115	77	115
3	470	61	71	61	71	61	71	61	71
3	471	75	94	75	94	75	94	75	94
3	472	44	82	44	82	44	82	44	82
3	473	54	61	54	61	54	61	54	61
3	474	56	56	56	56	56	56	56	56
3	475	70	83	70	83	70	83	70	83
3	476	47	69	47	69	47	69	47	69
3	477	40	69	40	69	40	69	40	69
3	478	85	91	85	91	85	91	85	91
3	479	105	123	105	123	105	123	105	123
3	480	79	128	79	128	79	128	79	128
3	481	62	121	62	121	62	121	62	121
3	482	105	109	105	109	105	109	105	109
3	483	48	87	48	87	48	87	48	87
3	484	61	80	61	80	61	80	61	80
3	485	35	84	35	84	35	84	35	84
3	486	50	81	50	81	50	81	50	81
3	487	50	57	50	57	50	57	50	57
3	488	63	80	63	80	63	80	63	80
3	489	71	121	71	121	71	121	71	121
3	490	58	100	58	100	58	100	58	100
3	491	41	71	41	71	41	71	41	71
3	492	48	75	48	75	48	75	48	75
3	493	58	92	58	92	58	92	58	92
3	494	68	70	68	70	68	70	68	70
3	495	50	61	50	61	50	61	50	61
3	496	42	54	42	54	42	54	42	54
3	497	59	70	59	70	59	70	59	70
3	498	41	63	41	63	41	63	41	63
3	499	46	49	46	49	46	49	46	49
3	500	59	59	59	59	59	59	59	59
3	501	55	55	55	55	55	55	55	55
3	502	59	51	59	51	59	51	59	51
3	503	80	85	80	85	80	85	80	85
3	504	48	60	48	60	48	60	48	60
3	505	60	46	60	46	60	46	60	46
3	506	57	69	57	69	57	69	57	69
3	507	84	62	84	62	84	62	84	62
3	508	60	84	60	84	60	84	60	84
3	509	67	85	67	85	67	85	67	85
3	510	42	63	42	63	42	63	42	63
3	511	77	83	77	83	77	83	77	83
3	512	58	62	58	62	58	62	58	62
3	513	73	59	73	59	73	59	73	59
3	514	53	46	53	46	53	46	53	46
3	515	42	62	42	62	42	62	42	62
3	516	76	31	76	31	76	31	76	31
3	517	57	69	57	69	57	69	57	69
3	518	49	58	49	58	49	58	49	58
3	519	59	66	59	66	59	66	59	66
3	520	45	75	45	75	45	75	45	75
3	521	80	97	80	97	80	97	80	97
3	522	93	76	93	76	93	76	93	76
3	523	76	84	76	84	76	84	76	84
3	524	62	59	62	59	62	59	62	59
3	525	53	80	53	80	53	80	53	80
3	526	61	49	61	49	61	49	61	49
3	527	44	64	44	64	44	64	44	64
3	528	55	58	55	58	55	58	55	58
3	529	42	67	42	67	42	67	42	67
3	530	70	50	70	50	70	50	70	50
3	531	64	51	64	51	64	51	64	51
3	532	44	62	44	62	44	62	44	62
3	533	53	91	53	91	53	91	53	91
3	534	59	62	59	62	59	62	59	62
3	535	66	65	66	65	66	65	66	65
3	536	47	51	47	51	47	51	47	51
3	537	48	57	48	57	48	57	48	57
3	538	25	47	25	47	25	47	25	47
3	539	24	60	24	60	24	60	24	60
3	540	48	56	48	56	48	56	48	56
3	541	51	69	51	69	51	69	51	69
3	542	58	43	58	43	58	43	58	43
3	543	74	68	74	68	74	68	74	68
3	544	88	85	88	85	88	85	88	85
3	545	62	59	62	59	62	59	62	59
3	546	72	73	72	73	72	73	72	73
3	547	56	54	56	54	56	54	56	54
3	548	48	45	48	45	48	45	48	45
3	549	57	83	57	83	57	83	57	83
3	550	50	58	50	58	50	58	50	58
3	551	86	71	86	71	86	71	86	71
3	552	70	54	70	54	70	54	70	54
3	553	63	58	63	58	63	58	63	58
3	554	67	74	67	74	67	74	67	74
3	555	49	54	49	54	49	54	49	54
3	556	51	76	51	76	51	76	51	76
3	557	86	65	86	65	86	65	86	65
3	558	75	72	75	72	75	72	75	72
3	559	63	83	63	83	63	83	63	83
3	560	77	65	77	65	77	65	77	65
3	561	88	96	88	96	88	96	88	96
3	562	91	66	91	66	91	66	91	66
3	563	59	55	59	55	59	55	59	55
3	564	109	97	109	97	109	97	109	97
3	565	56	56	56	56	56	56	56	56
3	566	66	63	66	63	66	63	66	63
3	567	65	61	65	61	65	61	65	61
3	568	126	92	126	92	126	92	126	92
3	569	67	89	67	89	67	89	67	89
3	570	109	84	109	84	109	84	109	84
3	571	86	73	86	73	86	73	86	73
3	572	84	63	84	63	84	63	84	63
3	573	69	94	69	94	69	94	69	94
3	574	97	83	97	83	97	83	97	83
3	575	59	113	59	113	59	113	59	113
3	576	88	72	88	72	88	72	88	72
3	577	88	105	88	105	88	105	88	105
3	578	61	116	61	116	61	116	61	116
3	579	67	100	67	100	67	100	67	100
3	580	57	83	57	83	57	83	57	83
3	581	101	87	101	87	101	87	101	87
3	582	85	91	85	91	85	91	85	91
3	583	70	72	70	72	70	72	70	72
3	584	85	68	85	68	85	68	85	68
3	585	88	91	88	91	88	91	88	91
3	586	76	111	76	111	76	111	76	111
3	587	78	47	78	47	78	47	78	47
3	588	52	47	52	47	52	47	52	47
3	589	65	66	65	66	65	66	65	66
3	590	64	69	64	69	64	69	64	69
3	591	78	76	78	76	78	76	78	76
3	592	56	88	56	88	56	88	56	88
3	593	72	74	72	74	72	74	72	74
3	594	87	128	87	128	87	128	87	128
3	595	77	93	77	93	77	93	77	93
3	596	72	96	72	96	72	96	72	96
3	597	126	106	126	106	126	106	126	106
3	598	104	102	104	102	104	102	104	102
4	599	155	171	155	171	155	171	155	171
4	600	43	66	43	66	43	66	43	66
4	601	45	64	45	64	45	64	45	64
4	602	60	74	60	74	60	74	60	74
4	603	48	35	48	35	48	35	48	35
4	604	72	72	72	72	72	72	72	72
4	605	54	67	54	67	54	67	54	67
4	606	47	68	47	68	47	68	47	68
4	607	38	71	38	71	38	71	38	71
4	608	48	59	48	59	48	59	48	59
4	609	52	37	52	37	52	37	52	37
4	610	40	47	40	47	40	47	40	47
4	611	52	66	52	66	52	66	52	66
4	612	40	58	40	58	40	58	40	58
4	613	37	44	37	44	37	44	37	44
4	614	73	40	73	40	73	40	73	40
4	615	66	94	66	94	66	94	66	94
4	616	79	72	79	72	79	72	79	72
4	617	61	67	61	67	61	67	61	67
4	618	74	54	74	54	74	54	74	54
4	619	62	76	62	76	62	76	62	76
4	620	68	54	68	54	68	54	68	54
4	621	60	50	60	50	60	50	60	50
4	622	101	68	101	68	101	68	101	68
4	623	72	61	72	61	72	61	72	61
4	624	96	87	96	87	96	87	96	87
4	625	60	51	60	51	60	51	60	51
4	626	40	35	40	35	40	35	40	35
4	627	55	47	55	47	55	47	55	47
4	628	65	45	65	45	65	45	65	45
4	629	115	68	115	68	115	68	115	68
4	630	47	93	47	93	47	93	47	93
4	631	71	64	71	64	71	64	71	64
4	632	90	104	90	104	90	104	90	104
4	633	46	82	46	82	46	82	46	82
4	634	47	72	47	72	47	72	47	72
4	635	54	48	54	48	54	48	54	48
4	636	52	42	52	42	52	42	52	42
4	637	83	130	83	130	83	130	83	130
4	638	86	135	86	135	86	135	86	135
4	639	42	77	42	77	42	77	42	77
4	640	54	71	54	71	54	71	54	71
4	641	85	108	85	108	85	108	85	108
4	642	79	99	79	99	79	99	79	99
4	643	53	87	53	87	53	87	53	87
4	644	64	79	64	79	64	79	64	79
4	645	44	67	44	67	44	67	44	67
4	646	49	59	49	59	49	59	49	59
4	647	65	49	65	49	65	49	65	49
4	648	40	67	40	67	40	67	40	67
4	649	56	83	56	83	56	83	56	83
4	650	51	61	51	61	51	61	51	61
4	651	47	46	47	46	47	46	47	46
4	652	49	39	49	39	49	39	49	39
4	653	38	48	38	48	38	48	38	48
4	654	43	64	43	64	43	64	43	64
4	655	57	69	57	69	57	69	57	69
4	656	57	77	57	77	57	77	57	77
4	657	64	95	64	95	64	95	64	95
4	658	68	95	68	95	68	95	68	95
4	659	72	60	72	60	72	60	72	60
4	660	65	44	65	44	65	44	65	44
4	661	65	44	65	44	65	44	65	44
4	662	41	61	41	61	41	61	41	61
4	663	97	88	97	88	97	88	97	88
4	664	80	79	80	79	80	79	80	79
4	665	70	78	70	78	70	78	70	78
4	666	65	98	65	98	65	98	65	98
4	667	92	101	92	101	92	101	92	101
4	668	70	83	70	83	70	83	70	83
4	669	94	101	94	101	94	101	94	101
4	670	58	109	58	109	58	109	58	109
4	671	50	106	50	106	50	106	50	106
4	672	62	54	62	54	62	54	62	54
4	673	56	70	56	70	56	70	56	70
4	674	55	53	55	53	55	53	55	53
4	675	47	75	47	75	47	75	47	75
4	676	39	37	39	37	39	37	39	37
4	677	48	63	48	63	48	63	48	63
4	678	39	74	39	74	39	74	39	74
4	679	48	60	48	60	48	60	48	60
4	680	42	33	42	33	42	33	42	33
4	681	41	50	41	50	41	50	41	50
4	682	50	58	50	58	50	58	50	58
4	683	56	61	56	61	56	61	56	61
4	684	46	60	46	60	46	60	46	60
4	685	61	61	61	61	61	61	61	61
4	686	32	39	32	39	32	39	32	39
4	687	50	44	50	44	50	44	50	44
4	688	87	54	87	54	87	54	87	54
4	689	76	69	76	69	76	69	76	69
4	690	78	77	78	77	78	77	78	77
4	691	55	76	55	76	55	76	55	76
4	692	52	58	52	58	52	58	52	58
4	693	45	74	45	74	45	74	45	74
4	694	77	98	77	98	77	98	77	98
4	695	78	75	78	75	78	75	78	75
